Dated,XS1514597571,XS1431286282
15.05.2017,0.0833,0.0931
12.05.2017,0.0848,0.0928
11.05.2017,0.0892,0.09305
10.05.2017,0.0925,0.0933
09.05.2017,0.0936,0.0947
08.05.2017,0.0913,0.0927
05.05.2017,0.0909,0.0947
04.05.2017,0.0897,0.0921
03.05.2017,0.0895,0.092
02.05.2017,0.0889,0.0916
01.05.2017,0.0858,0.0865
28.04.2017,0.0858,0.0864
27.04.2017,0.0851,0.0871
26.04.2017,0.0903,0.0904
25.04.2017,0.0891,0.092
24.04.2017,0.085,0.0876
21.04.2017,0.0833,0.0828
20.04.2017,0.0829,0.0862
19.04.2017,0.0818,0.0826
18.04.2017,0.0784,0.0809
17.04.2017,0.0778,0.0815
14.04.2017,0.0778,0.0804
13.04.2017,0.0778,0.0806
12.04.2017,0.0821,0.0841
11.04.2017,0.0793,0.0844
10.04.2017,0.08,0.0832
07.04.2017,0.0797,0.0845
06.04.2017,0.0803,0.0851
05.04.2017,0.0821,0.0842
04.04.2017,0.0809,0.0845
03.04.2017,0.0814,0.0874
31.03.2017,0.0826,0.0884
30.03.2017,0.0826,0.0882
29.03.2017,0.0811,0.0868
28.03.2017,0.0812,0.0887
27.03.2017,0.08,0.0874
24.03.2017,0.0817,0.0877
23.03.2017,0.0812,0.0878
22.03.2017,0.0792,0.0879
21.03.2017,0.0811,0.09015
20.03.2017,0.0837,0.0924
17.03.2017,0.0831,0.0914
16.03.2017,0.0837,0.0912
15.03.2017,0.0828,0.0909
14.03.2017,0.0821,0.0897
13.03.2017,0.0825,0.0925
10.03.2017,0.0831,0.093
09.03.2017,0.0834,0.0924
08.03.2017,0.0827,0.0926
07.03.2017,0.083,0.0933
06.03.2017,0.0834,0.0939
03.03.2017,0.0864,0.0969
02.03.2017,0.087,0.097
01.03.2017,0.0879,0.0994
28.02.2017,0.0854,0.0954
27.02.2017,0.0852,0.0955
24.02.2017,0.0851,0.0964
23.02.2017,0.0849,0.0954
22.02.2017,0.0852,0.0966
21.02.2017,0.0852,0.0975
20.02.2017,0.0859,0.0974
17.02.2017,0.0859,0.0974
16.02.2017,0.0834,0.0968
15.02.2017,0.085,0.0965
14.02.2017,0.0814,0.0945
13.02.2017,0.081,0.0948
10.02.2017,0.0802,0.0943
09.02.2017,0.08,0.0923
08.02.2017,0.0789,0.0912
07.02.2017,0.0784,0.0912
06.02.2017,0.079,0.0911
03.02.2017,0.0782,0.0917
02.02.2017,0.0766,0.0903
01.02.2017,0.0758,0.0902
31.01.2017,0.0765,0.0901
30.01.2017,0.0771,0.0922
27.01.2017,0.0806,0.0951
26.01.2017,0.0805,0.0949
25.01.2017,0.0795,0.0942
24.01.2017,0.0774,0.0918