,3/1/07,6/1/07,9/1/07,12/1/07,3/1/08,6/1/08,9/1/08,12/1/08,3/1/09,6/1/09,9/1/09,12/1/09,3/1/10,6/1/10,9/1/10,12/1/10,3/1/11,6/1/11,9/1/11,12/1/11,3/1/12,6/1/12,9/1/12,12/1/12,3/1/13,6/1/13,9/1/13,12/1/13,3/1/14,6/1/14,9/1/14,12/1/14,3/1/15,6/1/15,9/1/15,12/1/15,3/1/16,6/1/16,9/1/16,12/1/16,3/1/17
1M,,,,,,,,,,,0.1065,0.07,0.073,0.145,0.1501,0.1704,0.1065,0.0177,0.0127,0.0076,0.0635,0.028,0.0837,0.109,0.0634,0.0177,0.0228,0.0482,0.0431,0.038,0.0127,0.0025,0.0228,0.0025,0.0026,0.0991,0.2339,0.2212,0.251,0.322,0.4539
3M,5.1284,4.7864,4.1111,3.1497,1.8431,1.8842,1.7154,0.0456,0.2516,0.0963,0.1339,0.0507,0.1278,0.1511,0.1349,0.1613,0.14,0.0432,0.0127,-0.0026,0.0737,0.0684,0.0735,0.0786,0.104,0.0279,0.0228,0.0583,0.0482,0.0329,0.0228,0.0127,0.0127,0.0025,0.0381,0.2009,0.3282,0.2917,0.3272,0.4695,0.622
6M,5.1021,4.972,4.2064,3.3529,1.8206,2.012,1.9497,0.33,0.44,0.2822,0.2263,0.1451,0.1816,0.2162,0.1877,0.1979,0.1628,0.1017,0.0432,0.0483,0.1192,0.1141,0.1294,0.1294,0.1243,0.0634,0.0532,0.1014,0.0735,0.0482,0.0482,0.0735,0.0685,0.0483,0.257,0.4177,0.4853,0.47,0.4547,0.6025,0.7761
1Y,,,,,,,2.1684,0.8108,0.6857,0.4455,0.4006,0.2417,0.2977,0.318,0.2367,0.2743,0.2285,0.1552,0.0992,0.0992,0.1603,0.17,0.1599,0.17,0.1497,0.1294,0.1167,0.1192,0.104,0.0939,0.0862,0.1192,0.1904,0.247,0.3644,0.4769,0.6357,0.675,0.588,0.7825,0.9162
2Y,4.6131,4.9707,4.1361,2.9987,1.6198,2.6452,2.3709,0.9054,0.9741,0.9503,0.9089,0.675,0.7998,0.7698,0.5051,0.5355,0.6447,0.435,0.1819,0.2559,0.2913,0.248,0.2224,0.248,0.2362,0.2953,0.4006,0.2834,0.3189,0.375,0.4902,0.498,0.6204,0.6467,0.706,0.9087,0.841,0.9007,0.7836,1.149,1.2862
3Y,4.5354,4.9342,4.1483,,,,,1.1269,1.3722,1.4699,1.4001,1.1187,1.3182,1.2101,0.7366,0.8247,1.118,0.7199,0.2911,0.395,0.4137,0.3313,0.2913,0.3231,0.3364,0.4865,0.7821,0.5462,0.6691,0.7744,0.9301,0.8978,0.9986,0.9798,1.0094,1.1838,0.9744,1.0488,0.9019,1.4379,1.5662
4Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5Y,4.4962,4.923,4.2459,3.387,2.4739,3.4228,3.0961,1.7165,1.9856,2.5229,2.3167,2.0374,2.2835,2.0572,1.3979,1.6383,2.0968,1.5907,0.8966,0.9657,0.8886,0.621,0.5908,0.6178,0.7412,1.0185,1.6424,1.371,1.5024,1.54,1.6258,1.5367,1.4996,1.5465,1.4882,1.5866,1.3171,1.3807,1.1807,1.899,1.9881
6Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7Y,,,,,,,,,2.6829,3.2588,2.9813,2.7463,3.0437,2.7167,2.0158,2.3266,2.8007,2.2645,1.4729,1.5346,1.4374,0.9294,0.9977,1.0407,1.2207,1.5275,2.2524,2.0941,2.122,2.059,2.0421,1.9506,1.8181,1.9266,1.8834,1.922,1.6293,1.6618,1.4351,2.25,2.289
8Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10Y,4.5519,4.9536,4.5311,3.9398,3.5111,4.0615,3.8134,2.7326,3.015,3.6745,3.3643,3.2841,3.6098,3.261,2.5748,2.9661,3.3939,2.9417,2.1311,2.0877,2.0269,1.4528,1.5493,1.616,1.8421,2.1291,2.7853,2.7454,2.6485,2.4768,2.344,2.2359,1.9939,2.1802,2.1533,2.144,1.8257,1.8363,1.5689,2.449,2.4535
15Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y,4.6768,5.0582,4.8234,4.3799,4.4032,4.7157,4.4236,3.2143,3.7092,4.5346,4.1932,4.2745,4.5585,4.18,3.6466,4.2406,4.4803,4.142,3.4954,3.092,3.1484,2.5204,2.6727,2.8093,3.0514,3.28,3.6999,3.8115,3.583,3.3281,3.08,2.9632,2.5911,2.9342,2.9154,2.9023,2.6982,2.6167,2.2302,3.1089,3.0612